N;Place;A;B;C;P;Link
1;Обцарский;1,5;1;0,8;глина;Гуринов, 2017
2;Обцарский;7;3;1;доломит;Гуринов, 2017
3;Обцарский;4;2;0,7;доломит;Гуринов, 2017
4;Обцарский;4;2;1,5;доломит;Гуринов, 2017
5;Обцарский;7;4;0,5;доломит;Гуринов, 2017
6;Обцарский;3,5;2;1;доломит;Гуринов, 2017
7;Обцарский;7;4;3;доломит;Гуринов, 2017
8;Обцарский;8;5;2;доломит;Гуринов, 2017
9;Обцарский;8;7;5;доломит;Гуринов, 2017
10;Обцарский;8;4,5;0,5;доломит;Гуринов, 2017
11;Обцарский;14;0,7;0,3;известняк;Гуринов, 2017
12;Обцарский;4;1;0,3;известняк;Гуринов, 2017
13;Обцарский;4;1;0,5;известняк;Гуринов, 2017
14;Обцарский;2,5;1;0,5;известняк;Гуринов, 2017
15;Обцарский;3;1,5;1;известняк;Гуринов, 2017
16;Обцарский;3;1,5;1;известняк;Гуринов, 2017
17;Обцарский;6,5;3,5;1;известняк;Гуринов, 2017
18;Обцарский;4,5;2,5;1;известняк;Гуринов, 2017
19;Обцарский;2,5;1,5;0,5;известняк;Гуринов, 2017
20;Обцарский;8;5;3;известняк;Гуринов, 2017
21;Обцарский;3;2;0,3;известняк;Гуринов, 2017
22;Обцарский;3,5;2,5;1;известняк;Гуринов, 2017
23;Обцарский;7;5;3;известняк;Гуринов, 2017
24;Обцарский;5;4;3;известняк;Гуринов, 2017
25;Обцарский;3;2,5;1;известняк;Гуринов, 2017
26;Обцарский;3,5;2;1,5;кварцит;Гуринов, 2017
27;Обцарский;2,5;2;2;кварцит;Гуринов, 2017
28;Обцарский;6;5;1;кварцит;Гуринов, 2017
29;Обцарский;3;3;2;кварцит;Гуринов, 2017
30;Обцарский;12;3,5;2;кремень;Гуринов, 2017
31;Обцарский;6,5;2;1,5;кремень;Гуринов, 2017
32;Обцарский;4;1,5;1;кремень;Гуринов, 2017
33;Обцарский;5;2;1,5;кремень;Гуринов, 2017
34;Обцарский;4;2;0,3;кремень;Гуринов, 2017
35;Обцарский;4;2;0,7;кремень;Гуринов, 2017
36;Обцарский;6,5;3,5;1,5;кремень;Гуринов, 2017
37;Обцарский;5,5;3;2,5;кремень;Гуринов, 2017
38;Обцарский;4,5;2,5;1;кремень;Гуринов, 2017
39;Обцарский;3,5;2;0,3;кремень;Гуринов, 2017
40;Обцарский;3,5;2;1,5;кремень;Гуринов, 2017
41;Обцарский;3;2;0,5;кремень;Гуринов, 2017
42;Обцарский;3;2;1,5;кремень;Гуринов, 2017
43;Обцарский;7;5;2;кремень;Гуринов, 2017
44;Обцарский;4;3;0,5;кремень;Гуринов, 2017
45;Обцарский;7;1;0,6;мергель;Гуринов, 2017
46;Обцарский;9;1,5;1;мергель;Гуринов, 2017
47;Обцарский;4;1;0,5;мергель;Гуринов, 2017
48;Обцарский;5;1,5;0,5;мергель;Гуринов, 2017
49;Обцарский;5;1,5;1;мергель;Гуринов, 2017
50;Обцарский;4;1,5;1;мергель;Гуринов, 2017
51;Обцарский;9;3,5;1,5;мергель;Гуринов, 2017
52;Обцарский;2,5;1;1;мергель;Гуринов, 2017
53;Обцарский;9,5;4;2;мергель;Гуринов, 2017
54;Обцарский;7;3;0,5;мергель;Гуринов, 2017
55;Обцарский;8;3,5;0,7;мергель;Гуринов, 2017
56;Обцарский;4,5;2;0,5;мергель;Гуринов, 2017
57;Обцарский;10;4,5;2;мергель;Гуринов, 2017
58;Обцарский;3;1,5;0,4;мергель;Гуринов, 2017
59;Обцарский;4;2;0,8;мергель;Гуринов, 2017
60;Обцарский;6;3;1,5;мергель;Гуринов, 2017
61;Обцарский;6;3;2;мергель;Гуринов, 2017
62;Обцарский;6;3;2;мергель;Гуринов, 2017
63;Обцарский;4;2;1,5;мергель;Гуринов, 2017
64;Обцарский;7;4;0,5;мергель;Гуринов, 2017
65;Обцарский;7;4;2;мергель;Гуринов, 2017
66;Обцарский;3,5;2;1;мергель;Гуринов, 2017
67;Обцарский;5;3;0,5;мергель;Гуринов, 2017
68;Обцарский;5;3;1;мергель;Гуринов, 2017
69;Обцарский;5;3;1,5;мергель;Гуринов, 2017
70;Обцарский;5;3;2;мергель;Гуринов, 2017
71;Обцарский;4;2,5;0,8;мергель;Гуринов, 2017
72;Обцарский;4;2,5;1,5;мергель;Гуринов, 2017
73;Обцарский;8;5;3;мергель;Гуринов, 2017
74;Обцарский;3;2;0,3;мергель;Гуринов, 2017
75;Обцарский;3;2;0,4;мергель;Гуринов, 2017
76;Обцарский;3;2;0,5;мергель;Гуринов, 2017
77;Обцарский;3;2;1;мергель;Гуринов, 2017
78;Обцарский;6,5;4,5;1;мергель;Гуринов, 2017
79;Обцарский;3,5;2,5;0,5;мергель;Гуринов, 2017
80;Обцарский;4;3;1;мергель;Гуринов, 2017
81;Обцарский;4;3;1,5;мергель;Гуринов, 2017
82;Обцарский;2;1,5;1,5;мергель;Гуринов, 2017
83;Обцарский;2,5;2;1;мергель;Гуринов, 2017
84;Обцарский;3;2,5;0,5;мергель;Гуринов, 2017
85;Обцарский;7;6;4;мергель;Гуринов, 2017
86;Обцарский;2;2;0,5;мергель;Гуринов, 2017
87;Обцарский;1;1;0,4;мергель;Гуринов, 2017
88;Обцарский;2;2;1;мергель;Гуринов, 2017
89;Обцарский;7;4;3;основная гп;Гуринов, 2017
90;Обцарский;12;5;2,5;песчаник;Гуринов, 2017
91;Обцарский;4;3;1,5;песчаник;Гуринов, 2017
92;Обцарский;2;1,5;1;песчаник;Гуринов, 2017
93;Обцарский;6;5;2;песчаник;Гуринов, 2017
94;Обцарский;2,3;2;2;песчаник;Гуринов, 2017
95;Волчий;2,5;1,5;1;гранит;Гуринов, 2017
96;Волчий;1,5;1;0,5;гранит;Гуринов, 2017
97;Волчий;1,5;1;0,5;гранит;Гуринов, 2017
98;Волчий;4,5;4;3;гранит;Гуринов, 2017
99;Волчий;1,5;1;0,2;гранит;Гуринов, 2017
100;Волчий;3,2;1;1;гранит;Гуринов, 2017
101;Волчий;4;3,5;3;гранит;Гуринов, 2017
102;Волчий;6;3;3;гранит;Гуринов, 2017
103;Волчий;3;1,5;0,7;гранит;Гуринов, 2017
104;Волчий;2,5;2;0,7;гранит;Гуринов, 2017
105;Волчий;3;1,5;1;гранит;Гуринов, 2017
106;Волчий;4,5;1;1;доломит;Гуринов, 2017
107;Волчий;0,8;0,3;0,2;доломит;Гуринов, 2017
108;Волчий;2,5;1,8;0,2;доломит;Гуринов, 2017
109;Волчий;1,5;0,5;0,2;доломит;Гуринов, 2017
110;Волчий;2,5;1;0,5;известняк;Гуринов, 2017
111;Волчий;3;2;1;известняк;Гуринов, 2017
112;Волчий;2;1,5;1;известняк;Гуринов, 2017
113;Волчий;3;2;1,5;известняк;Гуринов, 2017
114;Волчий;1,4;1,2;0,2;известняк;Гуринов, 2017
115;Волчий;3;2,5;1,5;известняк;Гуринов, 2017
116;Волчий;1;0,7;0,5;известняк;Гуринов, 2017
117;Волчий;4,5;2;1,5;известняк;Гуринов, 2017
118;Волчий;5;4,5;3,5;известняк;Гуринов, 2017
119;Волчий;4;2,5;0,2;известняк;Гуринов, 2017
120;Волчий;6;3,5;2,5;известняк;Гуринов, 2017
121;Волчий;1;0,5;0,2;известняк;Гуринов, 2017
122;Волчий;2;1;0,5;известняк;Гуринов, 2017
123;Волчий;0,8;0,4;0,2;известняк;Гуринов, 2017
124;Волчий;0,9;0,3;0,1;кварц;Гуринов, 2017
125;Волчий;1,5;1;0,8;кварц;Гуринов, 2017
126;Волчий;3,5;2;0,1;кремень;Гуринов, 2017
127;Волчий;3;2;0,5;кремень;Гуринов, 2017
128;Волчий;1,5;1,2;0,3;кремень;Гуринов, 2017
129;Волчий;3;1,5;0,5;кремень;Гуринов, 2017
130;Волчий;2;1,5;0,5;кремень;Гуринов, 2017
131;Волчий;7;0,5;0,2;кремень;Гуринов, 2017
132;Волчий;3;2,5;1;кремень;Гуринов, 2017
133;Волчий;3;2,5;1;кремень;Гуринов, 2017
134;Волчий;2;1;0,5;кремень;Гуринов, 2017
135;Волчий;2;1;0,5;кремень;Гуринов, 2017
136;Волчий;4;2;1;кремень;Гуринов, 2017
137;Волчий;3,5;2;1;кремень;Гуринов, 2017
138;Волчий;1,5;1;0,5;кремень;Гуринов, 2017
139;Волчий;6;3,5;2;кремень;Гуринов, 2017
140;Волчий;1,8;0,8;0,5;кремень;Гуринов, 2017
141;Волчий;2,5;2;0,4;кремень;Гуринов, 2017
142;Волчий;3,5;2,5;1;кремень;Гуринов, 2017
143;Волчий;3;2,5;1;кремень;Гуринов, 2017
144;Волчий;1,5;1,2;0,5;кремень;Гуринов, 2017
145;Волчий;4,5;2;1;кремень;Гуринов, 2017
146;Волчий;1,5;1;0,5;кремень;Гуринов, 2017
147;Волчий;1;1;0,5;кремень;Гуринов, 2017
148;Волчий;2;1;0,9;кремень;Гуринов, 2017
149;Волчий;2;0,5;0,5;кремень;Гуринов, 2017
150;Волчий;2;1,5;0,2;кремень;Гуринов, 2017
151;Волчий;1,5;1;0,3;кремень;Гуринов, 2017
152;Волчий;3;2;1,5;кремень;Гуринов, 2017
153;Волчий;1,3;1;0,1;мергель;Гуринов, 2017
154;Волчий;1,4;1;0,4;мергель;Гуринов, 2017
155;Волчий;3;1,3;1;мергель;Гуринов, 2017
156;Волчий;2;1,5;0,3;мергель;Гуринов, 2017
157;Волчий;2;1;0,5;мергель;Гуринов, 2017
158;Волчий;2,5;1,5;1;мергель;Гуринов, 2017
159;Волчий;2;2;0,5;мергель;Гуринов, 2017
160;Волчий;2,5;2;0,8;песчаник;Гуринов, 2017
161;Волчий;2;1,5;0,7;песчаник;Гуринов, 2017
162;Волчий;4;3;2;кварцит;Гуринов, 2017
163;Рыжк_клад;5,7;4;3;окремнелый известняк;Фузеина, 2018
164;Рыжк_клад;6,3;3,5;2;кремень;Фузеина, 2018
165;Рыжк_клад;5;3,8;3;гранит;Фузеина, 2018
166;Рыжк_клад;3,3;2,2;1,6;кремень;Фузеина, 2018
167;Рыжк_клад;6,2;1,6;1;окремнелый известняк;Фузеина, 2018
168;Рыжк_клад;3;1,6;1,6;кремень;Фузеина, 2018
169;Рыжк_клад;3,4;2,3;1;кварцит;Фузеина, 2018
170;Рыжк_клад;5,8;3,8;2;окремнелый известняк;Фузеина, 2018
171;Рыжк_клад;8,2;6,1;4,5;кремень;Фузеина, 2018
172;Рыжк_клад;3,4;2,4;1,5;кварцит;Фузеина, 2018
173;Рыжк_клад;6,7;4;2,5;кремень;Фузеина, 2018
174;Рыжк_клад;3,3;3,2;1;окремнелый известняк;Фузеина, 2018
175;Рыжк_клад;3;3;1,4;кварцит;Фузеина, 2018
176;Рыжк_клад;4,5;3,3;2;кремень;Фузеина, 2018
177;Рыжк_клад;6;3;0,7;окремнелый известняк;Фузеина, 2018
178;Рыжк_клад;3;3,4;1,7;кремень;Фузеина, 2018
179;Рыжк_клад;2,7;2,3;1,3;кварцит;Фузеина, 2018
180;Рыжк_клад;6;3;1,8;кремень;Фузеина, 2018
181;Рыжк_клад;5,1;4;1,3;доломит;Фузеина, 2018
182;Рыжк_клад;7,3;3;2;кремень;Фузеина, 2018
183;Рыжк_клад;4,1;2,8;1,4;кремень;Фузеина, 2018
184;Рыжк_клад;3,6;2,4;0,3;окремнелый известняк;Фузеина, 2018
185;Рыжк_клад;3,3;2,3;1,5;гранит;Фузеина, 2018
186;Рыжк_клад;4;2;1,7;окремнелый известняк;Фузеина, 2018
187;Рыжк_клад;3,5;2,3;1,3;кремень;Фузеина, 2018
188;Рыжк_клад;2,2;1,5;0,7;песчаник;Фузеина, 2018
189;Рыжк_клад;2,5;1,3;1;кремень;Фузеина, 2018
190;Рыжк_клад;4,7;2,8;0,8;окремнелый известняк;Фузеина, 2018
191;Рыжк_клад;4;2,1;1,8;окремнелый известняк;Фузеина, 2018
192;Рыжк_клад;4,1;3;0,9;кремень;Фузеина, 2018
193;Рыжк_клад;4,3;2,8;1,5;окремнелый известняк;Фузеина, 2018
194;Рыжк_клад;4;2,7;1,7;окремнелый известняк;Фузеина, 2018
195;Рыжк_клад;3,3;2;2,4;доломит;Фузеина, 2018
196;Рыжк_клад;4;2,2;2,4;кремень;Фузеина, 2018
197;Рыжк_клад;3,5;2,5;1,6;песчаник;Фузеина, 2018
198;Рыжк_клад;3,3;2,5;2,1;кремень;Фузеина, 2018
199;Рыжк_клад;4,1;3,8;2;окремнелый известняк;Фузеина, 2018
200;Рыжк_клад;1,9;1,9;1;кварцит;Фузеина, 2018
201;Рыжк_клад;3,5;2,8;1,5;окремнелый известняк;Фузеина, 2018
202;Рыжк_клад;4;3;2;кремень;Фузеина, 2018
203;Рыжк_клад;4;2,4;1;окремнелый известняк;Фузеина, 2018
204;Рыжк_клад;4,1;1,8;1,7;окремнелый известняк;Фузеина, 2018
205;Рыжк_клад;3,8;1,8;1,3;окремнелый известняк;Фузеина, 2018
206;Рыжк_клад;4;3;2;кремень;Фузеина, 2018
207;Рыжк_клад;3;1,4;1;кремень;Фузеина, 2018
208;Рыжк_клад;4,6;3;2,5;окремнелый известняк;Фузеина, 2018
209;Рыжк_клад;7;3;3;песчаник;Фузеина, 2018
210;Рыжк_клад;2,1;2,1;1,6;кремень;Фузеина, 2018
211;Рыжк_клад;2;1,6;1,3;кремень;Фузеина, 2018
212;Рыжк_клад;3,1;3;0,9;окремнелый известняк;Фузеина, 2018
213;Рыжк_клад;3;2,2;2;кремень;Фузеина, 2018
214;Рыжк_клад;3;2;0,8;кремень;Фузеина, 2018
215;Рыжк_клад;3;2,3;1;кварцит;Фузеина, 2018
216;Рыжк_клад;3;2,6;0,8;кремень;Фузеина, 2018
217;Рыжк_клад;2,7;2;1;песчаник;Фузеина, 2018
218;Рыжк_клад;2,1;2;1;гранит;Фузеина, 2018
219;Рыжк_клад;2,2;1,6;0,9;окремнелый известняк;Фузеина, 2018
220;Рыжк_клад;3;2,8;1;кальцит;Фузеина, 2018
221;Рыжк_клад;3,8;2,6;1,4;окремнелый известняк;Фузеина, 2018
222;Рыжк_клад;2,3;2,6;0,8;кремень;Фузеина, 2018
223;Рыжк_клад;3;1,5;1;кварцит;Фузеина, 2018
224;Рыжк_клад;3,4;2,1;1;окремнелый известняк;Фузеина, 2018
225;Рыжк_клад;3,9;2,3;1;кремень;Фузеина, 2018
226;Рыжк_клад;1,7;1,1;0,8;окремнелый известняк;Фузеина, 2018
227;Рыжк_клад;2,9;2,3;0,7;доломит;Фузеина, 2018
228;Рыжк_клад;0,4;0,3;0,3;гранит;Фузеина, 2018
229;Рыжк_клад;8,3;4;3,4;кремень;Фузеина, 2018
230;Рыжк_клад;6;4;4;окремнелый известняк;Фузеина, 2018
231;Рыжк_клад;4,6;3;1,1;окремнелый известняк;Фузеина, 2018
232;Рыжк_клад;5,2;4,6;3,7;окремнелый известняк;Фузеина, 2018
233;Рыжк_клад;5,8;3;1,8;окремнелый известняк;Фузеина, 2018
234;Рыжк_клад;3,5;2,5;1,4;кварцит;Фузеина, 2018
235;Рыжк_клад;6;4;1;кремень;Фузеина, 2018
236;Рыжк_клад;5,5;3;2;кремень;Фузеина, 2018
237;Рыжк_клад;5,3;2,6;2;окремнелый известняк;Фузеина, 2018
238;Рыжк_клад;5;3,1;2;окремнелый известняк;Фузеина, 2018
239;Рыжк_клад;4;2,6;0,5;песчаник;Фузеина, 2018
240;Рыжк_клад;2,7;2,4;2;кремень;Фузеина, 2018
241;Рыжк_клад;5;3,8;2,5;окремнелый известняк;Фузеина, 2018
242;Рыжк_клад;3,2;2,6;0,7;кварцит;Фузеина, 2018
243;Рыжк_клад;4;1,3;1;песчаник;Фузеина, 2018
244;Рыжк_клад;3,3;2,1;1,6;кварцит;Фузеина, 2018
245;Рыжк_клад;3,8;2,4;2;окремнелый известняк;Фузеина, 2018
246;Рыжк_клад;4;2,8;2,1;гранит;Фузеина, 2018
247;Рыжк_клад;4,2;2,7;2;кремень;Фузеина, 2018
248;Рыжк_клад;3,3;3;2;кремень;Фузеина, 2018
249;Рыжк_клад;4;1,6;1,1;окремнелый известняк;Фузеина, 2018
250;Рыжк_клад;3;2,7;2,3;окремнелый известняк;Фузеина, 2018
251;Рыжк_клад;6,1;4;0,7;кварцит;Фузеина, 2018
252;Рыжк_клад;3,8;2,8;1,5;кремень;Фузеина, 2018
253;Рыжк_клад;4;3,5;0,3;окремнелый известняк;Фузеина, 2018
254;Рыжк_клад;4;3;0,9;окремнелый известняк;Фузеина, 2018
255;Рыжк_клад;3,2;2,1;2;доломит;Фузеина, 2018
256;Рыжк_клад;3,3;3,7;1,2;кремень;Фузеина, 2018
257;Рыжк_клад;2,7;3,4;1,6;кремень;Фузеина, 2018
258;Рыжк_клад;3,4;2;1,4;окремнелый известняк;Фузеина, 2018
259;Рыжк_клад;6,6;3,6;2,6;доломит;Фузеина, 2018
260;Рыжк_клад;5,2;4,7;3,4;кремень;Фузеина, 2018
261;Рыжк_клад;4,5;3,4;3,3;кремень;Фузеина, 2018
262;Рыжк_клад;5,2;4,4;4,1;окремнелый известняк;Фузеина, 2018
263;Егоров;6,1;4,1;2,8;кремень;Фузеина, 2018
264;Егоров;5,4;5,2;2,5;известняк;Фузеина, 2018
265;Егоров;8;4,1;3,3;кремень;Фузеина, 2018
266;Егоров;5,3;4,5;3,3;известняк;Фузеина, 2018
267;Егоров;6;5,6;2,4;известняк;Фузеина, 2018
268;Егоров;4,1;2,4;1,1;кремень;Фузеина, 2018
269;Егоров;7,1;3,4;2,5;окремнелый известняк;Фузеина, 2018
270;Егоров;6,6;3;1,1;окремнелый известняк;Фузеина, 2018
271;Егоров;3,4;2,8;2;известняк;Фузеина, 2018
272;Егоров;4;2,5;1;кремень;Фузеина, 2018
273;Егоров;5,3;3;1,4;кремень;Фузеина, 2018
274;Егоров;5,5;4,5;2,3;окремнелый известняк;Фузеина, 2018
275;Егоров;6,7;4;2,5;кремень;Фузеина, 2018
276;Егоров;6,3;5,3;4;окремнелый известняк;Фузеина, 2018
277;Егоров;5,7;5,3;3;окремнелый известняк;Фузеина, 2018
278;Егоров;4;3;2,5;гранит;Фузеина, 2018
279;Егоров;4;3,4;2,1;кремень;Фузеина, 2018
280;Егоров;4,4;2,8;2,2;гранит;Фузеина, 2018
281;Егоров;5,1;3,3;2;кремень;Фузеина, 2018
282;Егоров;2;1,6;0,6;гранит;Фузеина, 2018
283;Егоров;3,5;2,6;1,8;известняк;Фузеина, 2018
284;Егоров;4,6;3,1;1,9;известняк;Фузеина, 2018
285;Егоров;7;4,1;2,5;известняк;Фузеина, 2018
286;Егоров;6;4,5;1;доломит;Фузеина, 2018
287;Егоров;2,6;2,4;1,3;известняк;Фузеина, 2018
288;Егоров;3;2;1,6;известняк;Фузеина, 2018
289;Егоров;5,1;4,6;2,6;кремень;Фузеина, 2018
290;Егоров;2,5;2,1;1,3;гранит;Фузеина, 2018
291;Егоров;4,1;3,1;2,2;кремень;Фузеина, 2018
292;Егоров;3,5;3;0,5;кремень;Фузеина, 2018
293;Егоров;2,1;2,5;2,2;гранит;Фузеина, 2018
294;Егоров;3,4;2,2;1,5;известняк;Фузеина, 2018
295;Егоров;4,6;2,8;1,5;кремень;Фузеина, 2018
296;Егоров;6,1;4,9;3,1;кремень;Фузеина, 2018
297;Егоров;5,4;3,8;1,6;известняк;Фузеина, 2018
298;Егоров;7,3;2,3;2,1;кремень;Фузеина, 2018
299;Егоров;3,5;3;2,1;гранит;Фузеина, 2018
300;Егоров;9;5,8;2,5;кремень;Фузеина, 2018
301;Егоров;5,1;3,8;1,4;известняк;Фузеина, 2018
302;Егоров;4,4;4,1;1,7;кремень;Фузеина, 2018
303;Егоров;5,3;4,2;1,5;известняк;Фузеина, 2018
304;Егоров;4;4;2,3;известняк;Фузеина, 2018
305;Егоров;2,3;3,1;2,5;кремень;Фузеина, 2018
